estimating the workload which takes just one milli-second...
end estimation
0	11	1
0	12	2
0	13	3
0	14	4
0	15	5
0	16	6
0	17	7
0	18	8
0	19	9
0	20	10
0	21	11
0	22	12
0	23	13
0	24	14
0	25	15
0	26	16
0	39	17
0	40	18
0	41	19
0	42	20
0	43	21
0	44	22
0	45	23
0	46	24
0	47	25
0	48	26
0	48	27
0	49	28
0	62	29
0	63	30
0	64	31
0	65	32
0	66	33
0	67	34
0	68	35
0	69	36
0	70	37
0	71	38
0	72	39
0	73	40
0	74	41
0	87	42
0	88	43
0	89	44
0	90	45
0	91	46
0	92	47
0	93	48
0	94	49
0	95	50
0	96	51
0	97	52
0	98	53
0	111	54
0	112	55
0	113	56
0	114	57
0	115	58
0	116	59
0	117	60
0	118	61
0	119	62
0	119	63
0	120	64
0	121	65
0	134	66
0	135	67
0	137	68
0	138	69
0	138	70
0	139	71
0	140	72
0	142	73
0	143	74
0	143	75
0	144	76
0	145	77
0	158	78
0	159	79
0	160	80
0	161	81
0	162	82
0	163	83
0	164	84
0	165	85
0	166	86
0	167	87
0	168	88
0	169	89
0	170	90
0	183	91
0	184	92
0	185	93
0	186	94
0	187	95
0	188	96
0	189	97
0	190	98
0	191	99
0	192	100
1	1	1
1	2	2
1	3	3
1	3	4
1	4	5
1	5	6
1	6	7
1	7	8
1	8	9
1	9	10
1	26	11
1	27	12
1	28	13
1	29	14
1	30	15
1	31	16
1	32	17
1	33	18
1	34	19
1	35	20
1	36	21
1	37	22
1	50	23
1	51	24
1	52	25
1	53	26
1	54	27
1	55	28
1	56	29
1	57	30
1	58	31
1	59	32
1	60	33
1	61	34
1	62	35
1	75	36
1	76	37
1	77	38
1	78	39
1	79	40
1	80	41
1	81	42
1	82	43
1	83	44
1	84	45
1	85	46
1	86	47
1	99	48
1	100	49
1	101	50
1	102	51
1	103	52
1	104	53
1	105	54
1	106	55
1	107	56
1	108	57
1	109	58
1	110	59
1	123	60
1	124	61
1	125	62
1	126	63
1	127	64
1	128	65
1	129	66
1	130	67
1	131	68
1	132	69
1	133	70
1	134	71
1	147	72
1	148	73
1	149	74
1	150	75
1	151	76
1	152	77
1	153	78
1	154	79
1	155	80
1	156	81
1	157	82
1	158	83
1	171	84
1	171	85
1	172	86
1	173	87
1	174	88
1	175	89
1	176	90
1	177	91
1	178	92
1	179	93
1	180	94
1	181	95
1	182	96
1	193	97
1	194	98
1	195	99
1	196	100
